대학ID,학년도,학과명,계열,모집인원,지원자,입학자
18,2026,건축학부(건축학전공),공학계열,40,871,41
18,2026,경상대학 자율학부,사회계열,41,570,41
18,2026,경영학부,사회계열,184,2527,183
18,2026,경제통상학부,사회계열,148,1637,148
18,2026,고고인류학과,인문계열,23,332,23
18,2026,고분자공학과,공학계열,38,377,38
18,2026,곤충생명과학과,자연계열,24,149,24
18,2026,공과대학 자율학부,공학계열,38,444,38
18,2026,공학 첨단자율학부,공학계열,63,796,63
18,2026,관광학과,사회계열,28,315,27
18,2026,교육학과,교육계열,13,277,13
18,2026,"국악학과(기악전공, 성악전공,이론작곡전공)",예체능계열,24,93,24
18,2026,국어교육과,교육계열,37,566,37
18,2026,국어국문학과,인문계열,33,414,32
18,2026,금속재료공학과,공학계열,52,540,52
18,2026,기계공학부,공학계열,141,1899,141
18,2026,기타모집단위,인문계열,3,0,0
18,2026,나노신소재공학과,공학계열,34,191,34
18,2026,노어노문학과,인문계열,29,404,29
18,2026,농산업학과,자연계열,30,236,28
18,2026,농업생명과학대학 자율학부,자연계열,38,599,38
18,2026,농업토목공학과,공학계열,28,404,28
18,2026,독어독문학과,인문계열,29,630,29
18,2026,동물생명공학과,자연계열,24,205,24
18,2026,디자인학과,예체능계열,20,317,20
18,2026,말/특수동물학과,자연계열,24,241,24
18,2026,문헌정보학과,인문계열,31,488,31
18,2026,물리교육과,교육계열,18,245,18
18,2026,물리학과,자연계열,60,549,60
18,2026,미디어커뮤니케이션학과,사회계열,38,906,38
18,2026,"미술학과(한국화전공, 서양화전공, 조소전공, 조형예술이론전공)",예체능계열,40,395,40
18,2026,바이오섬유소재학과,공학계열,27,308,27
18,2026,불어불문학과,인문계열,28,319,27
18,2026,사학과,인문계열,44,574,45
18,2026,사회과학대학 자율학부,사회계열,16,320,16
18,2026,"사회복지학부(사회복지미시전공, 사회복지거시전공)",사회계열,49,674,48
18,2026,사회학과,사회계열,29,455,29
18,2026,"산림과학.조경학부(임학전공,임산공학전공,조경학전공)",자연계열,66,881,64
18,2026,산림생태보호학과,자연계열,25,272,25
18,2026,생명공학부,자연계열,89,1133,90
18,2026,생물교육과,교육계열,17,365,17
18,2026,생물학과,자연계열,36,523,36
18,2026,섬유시스템공학과,공학계열,36,440,36
18,2026,섬유패션디자인학부 섬유공학전공,공학계열,26,121,26
18,2026,섬유패션디자인학부 패션디자인전공,예체능계열,41,212,41
18,2026,소프트웨어학과,공학계열,27,381,27
18,2026,수의예과,자연계열,57,1657,57
18,2026,수학과,자연계열,34,324,34
18,2026,수학교육과,교육계열,29,366,29
18,2026,스마트생물산업기계공학과,자연계열,34,445,34
18,2026,스마트플랜트공학과,공학계열,26,157,26
18,2026,식물의학과,자연계열,29,323,29
18,2026,식물자원학과,자연계열,25,161,25
18,2026,식품공학부,자연계열,90,938,90
18,2026,식품영양학과,자연계열,25,287,25
18,2026,식품외식산업학과,자연계열,48,317,48
18,2026,식품자원경제학과,자연계열,30,358,30
18,2026,신소재공학과,공학계열,56,641,56
18,2026,심리학과,인문계열,28,647,28
18,2026,아동학부,사회계열,42,411,42
18,2026,약학과,의약계열,35,1092,35
18,2026,에너지공학부,공학계열,64,639,64
18,2026,에너지화학공학과,공학계열,33,164,33
18,2026,역사교육과,교육계열,18,313,18
18,2026,영어교육과,교육계열,30,348,30
18,2026,영어영문학과,인문계열,62,686,62
18,2026,원예과학과,자연계열,35,604,35
18,2026,위치정보시스템학과,자연계열,28,149,28
18,2026,유럽어교육학부 독어교육전공,교육계열,8,86,8
18,2026,윤리교육과,교육계열,19,235,19
18,2026,"음악학과(성악전공, 피아노전공, 작곡전공, 관현악전공, 이론전공)",예체능계열,56,489,56
18,2026,"응용생명과학부(식물생명과학전공, 환경생명화학전공)",자연계열,58,848,58
18,2026,응용화학공학부,공학계열,75,909,75
18,2026,의류학과,자연계열,23,342,23
18,2026,의예과,의약계열,111,2578,111
18,2026,인문대학 자율학부,인문계열,15,255,15
18,2026,일반사회교육과,교육계열,18,240,18
18,2026,일어일문학과,인문계열,29,453,29
18,2026,자동차공학과,공학계열,49,320,49
18,2026,자연과학대학 자율학부,자연계열,35,458,35
18,2026,자율미래인재학부,무전공,59,450,59
18,2026,자율전공학부,무전공,347,3597,345
18,2026,전기공학과,공학계열,59,856,60
18,2026,전자공학부,공학계열,310,3128,310
18,2026,전자공학부(인공지능전공),공학계열,80,1110,80
18,2026,전자공학부모바일공학전공,공학계열,30,600,30
18,2026,정밀기계공학과,공학계열,41,327,41
18,2026,정보·컴퓨터교육과,교육계열,13,183,13
18,2026,정치외교학과,사회계열,26,452,26
18,2026,중어중문학과,인문계열,27,379,27
18,2026,지구과학교육과,교육계열,19,277,19
18,2026,"지구시스템과학부(지질학전공, 천문대기과학전공, 해양학전공)",자연계열,75,874,75
18,2026,지리교육과,교육계열,18,186,18
18,2026,지리학과,자연계열,30,351,30
18,2026,철학과,인문계열,24,509,24
18,2026,첨단기술융합대학 자율학부1,공학계열,164,1528,164
18,2026,첨단기술융합대학 자율학부2,무전공,93,806,93
18,2026,체육교육과,교육계열,26,545,26
18,2026,체육학부 건강운동관리전공,예체능계열,27,269,27
18,2026,체육학부 체육학전공,예체능계열,30,300,30
18,2026,축산학과,자연계열,25,233,25
18,2026,치위생학과,의약계열,29,571,29
18,2026,치의예과,의약계열,62,1081,62
18,2026,컴퓨터학부 인공지능컴퓨팅전공,공학계열,52,607,53
18,2026,컴퓨터학부(심화컴퓨팅전공),공학계열,112,1401,113
18,2026,컴퓨터학부(첨단컴퓨팅연구전공),공학계열,31,523,31
18,2026,토목공학과,공학계열,56,637,55
18,2026,통계학과,자연계열,36,671,36
18,2026,한문학과,인문계열,22,270,22
18,2026,행정학부,사회계열,58,687,58
18,2026,화학과,자연계열,38,475,38
18,2026,화학교육과,교육계열,18,291,18
18,2026,환경공학과,자연계열,36,566,36
18,2026,환경안전공학과,자연계열,33,170,33
18,2026,IT 첨단자율학부,공학계열,70,1192,70
18,2026,IT대학 자율학부,공학계열,30,675,30
19,2024,간호학과,의약계열,113,1194,113
19,2024,건설시스템공학과,공학계열,41,160,40
19,2024,건축공학부,공학계열,69,381,68
19,2024,건축학과,공학계열,54,403,53
19,2024,경영정보학과,사회계열,45,269,45
19,2024,경영학부,사회계열,115,570,114
19,2024,경제학부,사회계열,65,451,65
19,2024,교육학과,교육계열,16,118,16
19,2024,국어교육과,교육계열,30,137,30
19,2024,국어국문학과,인문계열,47,268,46
19,2024,국제통상학과,사회계열,102,475,102
19,2024,기계공학부,공학계열,79,500,79
19,2024,기계시스템공학과,공학계열,27,178,27
19,2024,기계융합공학과,공학계열,30,145,30
19,2024,기타모집단위,인문계열,85,0,0
19,2024,나노?신소재공학부(고분자공학전공),공학계열,40,270,40
19,2024,나노?신소재공학부(금속재료공학전공),공학계열,40,175,40
19,2024,나노?신소재공학부(세라믹공학전공),공학계열,41,200,41
19,2024,농학과,자연계열,31,138,31
19,2024,도시공학과,공학계열,43,213,43
19,2024,독어독문학과,인문계열,31,161,30
19,2024,동물생명융합학부,자연계열,69,371,69
19,2024,디자인비즈니스학과,예체능계열,29,179,29
19,2024,러시아학과,인문계열,33,204,33
19,2024,메카트로닉스공학부,공학계열,52,260,52
19,2024,물리교육과,교육계열,17,65,17
19,2024,물리학과,자연계열,32,168,32
19,2024,미디어커뮤니케이션학과,사회계열,26,363,26
19,2024,미래산업융합학과,공학계열,20,21,13
19,2024,미래자동차공학과,공학계열,41,260,41
19,2024,미술교육과,교육계열,20,119,20
19,2024,민속예술무용학과,예체능계열,18,43,18
19,2024,반도체공학과,공학계열,41,213,41
19,2024,법학과,사회계열,70,326,69
19,2024,불어불문학과,인문계열,32,185,31
19,2024,사학과,인문계열,38,219,38
19,2024,사회복지학부,사회계열,54,435,54
19,2024,사회학과,사회계열,33,248,33
19,2024,산업경영학과,사회계열,35,52,35
19,2024,산업시스템공학부,공학계열,69,323,69
19,2024,생명과학부,자연계열,89,385,89
19,2024,생물교육과,교육계열,17,98,17
19,2024,생물산업기계공학과,자연계열,36,156,35
19,2024,소프트웨어공학과,공학계열,27,215,27
19,2024,수산생명의학과,자연계열,26,163,26
19,2024,수의예과,자연계열,54,807,54
19,2024,수학과,자연계열,35,243,35
19,2024,수학교육과,교육계열,29,250,29
19,2024,스마트농산업학과,자연계열,32,177,32
19,2024,스마트에너지기계공학과,공학계열,29,163,28
19,2024,스마트유통물류학과,사회계열,40,434,40
19,2024,식물의학과,자연계열,30,211,30
19,2024,식품공학부,자연계열,55,216,55
19,2024,식품영양학과,자연계열,54,410,54
19,2024,식품자원경제학과,자연계열,36,290,36
19,2024,심리학과,인문계열,34,225,34
19,2024,아동가족학과,자연계열,34,413,34
19,2024,약학과(6년제),의약계열,38,801,38
19,2024,에너지공학과,공학계열,33,160,33
19,2024,역사교육과,교육계열,16,129,16
19,2024,영어교육과,교육계열,25,136,25
19,2024,영어영문학부 영어영문학전공,인문계열,51,242,50
19,2024,영어영문학부 영어전공,인문계열,38,192,38
19,2024,원예과학부,자연계열,69,360,68
19,2024,유아교육과,교육계열,19,136,19
19,2024,윤리교육과,교육계열,16,132,16
19,2024,음악교육과,교육계열,29,162,29
19,2024,의류학과,자연계열,33,272,33
19,2024,의예과,의약계열,79,735,79
19,2024,인테리어재료공학과,자연계열,36,158,36
19,2024,일반사회교육과,교육계열,17,177,16
19,2024,일어교육과,교육계열,16,162,16
19,2024,전기공학과,공학계열,49,425,48
19,2024,전자공학부,공학계열,104,506,103
19,2024,정보통계학과,자연계열,34,156,33
19,2024,정치외교학과,사회계열,35,242,35
19,2024,제약공학과,자연계열,31,219,31
19,2024,제어로봇공학과,공학계열,43,271,42
19,2024,조경학과,공학계열,40,206,40
19,2024,조선해양공학과,공학계열,31,158,30
19,2024,중어중문학과,인문계열,40,198,40
19,2024,지리교육과,교육계열,15,115,15
19,2024,지역시스템공학과,자연계열,36,193,36
19,2024,지질과학과,자연계열,32,163,32
19,2024,철학과,인문계열,32,163,32
19,2024,체육교육과,교육계열,22,249,22
19,2024,축산과학부,자연계열,65,324,66
19,2024,컴퓨터공학과,공학계열,108,931,108
19,2024,토목공학과,공학계열,48,341,48
19,2024,한문학과,인문계열,33,150,32
19,2024,항공우주공학부,공학계열,109,609,109
19,2024,항노화신소재과학과,자연계열,31,179,31
19,2024,해양경찰시스템학과,사회계열,43,267,43
19,2024,해양생명과학과,자연계열,28,120,28
19,2024,해양수산경영학과,사회계열,26,121,26
19,2024,해양식품공학과,자연계열,28,107,28
19,2024,해양토목공학과,공학계열,27,140,27
19,2024,해양환경공학과,자연계열,30,170,29
19,2024,행정학과,사회계열,42,238,42
19,2024,화학공학과,공학계열,42,304,42
19,2024,화학과,자연계열,42,206,42
19,2024,화학교육과,교육계열,18,71,18
19,2024,환경공학과,자연계열,40,209,40
19,2024,환경산림과학부(통합대학),자연계열,78,372,78
19,2024,환경생명화학과,자연계열,30,162,30
19,2024,환경재료과학과,자연계열,34,196,33
19,2024,회계세무학부,사회계열,106,478,106
19,2024,휴먼헬스케어학과,예체능계열,30,160,30
19,2024,AI정보공학과,공학계열,30,340,30
19,2025,간호학과,의약계열,113,1207,112
19,2025,건설시스템공학과,공학계열,40,264,40
19,2025,건축공학부,공학계열,69,325,69
19,2025,건축학과,공학계열,54,449,54
19,2025,경영정보학과,사회계열,44,256,44
19,2025,경영학부,사회계열,107,932,107
19,2025,경제학부,사회계열,66,464,66
19,2025,교육학과,교육계열,16,146,16
19,2025,국어교육과,교육계열,30,240,30
19,2025,국어국문학과,인문계열,45,210,45
19,2025,국제통상학과,사회계열,103,662,102
19,2025,기계공학부,공학계열,78,491,78
19,2025,기계시스템공학과,공학계열,26,131,26
19,2025,기계융합공학과,공학계열,30,213,30
19,2025,기타모집단위,인문계열,87,0,0
19,2025,나노?신소재공학부(고분자공학전공),공학계열,40,238,39
19,2025,나노?신소재공학부(금속재료공학전공),공학계열,41,238,41
19,2025,나노?신소재공학부(세라믹공학전공),공학계열,40,183,40
19,2025,농학과,자연계열,31,150,30
19,2025,도시공학과,공학계열,41,248,41
19,2025,독어독문학과,인문계열,31,172,31
19,2025,동물생명융합학부,자연계열,68,382,68
19,2025,디자인비즈니스학과,예체능계열,28,137,28
19,2025,러시아학과,인문계열,33,161,32
19,2025,메카트로닉스공학부,공학계열,52,242,52
19,2025,물리교육과,교육계열,17,74,17
19,2025,미디어커뮤니케이션학과,사회계열,26,387,26
19,2025,미래산업융합학과,공학계열,20,18,9
19,2025,미래자동차공학과,공학계열,41,313,41
19,2025,미술교육과,교육계열,20,117,20
19,2025,민속예술무용학과,예체능계열,18,44,18
19,2025,반도체공학과,공학계열,42,200,42
19,2025,법학부,사회계열,70,576,70
19,2025,불어불문학과,인문계열,32,224,31
19,2025,사학과,인문계열,37,300,37
19,2025,사회복지학부,사회계열,54,467,54
19,2025,사회학과,사회계열,33,222,33
19,2025,산업경영학과,사회계열,35,56,35
19,2025,산업시스템공학부,공학계열,68,378,68
19,2025,생명과학부,자연계열,90,490,91
19,2025,생물교육과,교육계열,17,105,17
19,2025,생물산업기계공학과,자연계열,35,169,35
19,2025,소프트웨어공학과,공학계열,27,403,27
19,2025,수의예과,자연계열,54,967,54
19,2025,수학교육과,교육계열,29,199,29
19,2025,수학물리학부,자연계열,67,286,67
19,2025,스마트농산업학과,자연계열,32,179,31
19,2025,스마트에너지기계공학과,공학계열,32,246,32
19,2025,스마트유통물류학과,사회계열,40,205,40
19,2025,식물의학과,자연계열,30,137,30
19,2025,식품공학부,자연계열,55,279,55
19,2025,식품영양학과,자연계열,55,311,55
19,2025,식품자원경제학과,자연계열,36,169,36
19,2025,심리학과,인문계열,33,341,33
19,2025,아동가족학과,자연계열,34,249,34
19,2025,약학과(6년제),의약계열,38,728,38
19,2025,에너지공학과,공학계열,32,166,32
19,2025,역사교육과,교육계열,16,120,16
19,2025,영어교육과,교육계열,25,228,25
19,2025,영어영문학부 영어영문학전공,인문계열,49,236,48
19,2025,영어영문학부 영어전공,인문계열,36,227,36
19,2025,원예과학부,자연계열,68,343,68
19,2025,유아교육과,교육계열,19,126,19
19,2025,윤리교육과,교육계열,16,166,16
19,2025,음악교육과,교육계열,29,175,29
19,2025,의류학과,자연계열,33,257,33
19,2025,의예과,의약계열,142,1285,142
19,2025,인문사회자율전공,무전공,21,167,21
19,2025,인테리어재료공학과,자연계열,36,171,36
19,2025,일반사회교육과,교육계열,17,191,17
19,2025,일어교육과,교육계열,16,281,16
19,2025,자연과학자율전공,무전공,20,108,20
19,2025,전기공학과,공학계열,47,395,47
19,2025,전자공학부,공학계열,103,784,103
19,2025,정보통계학과,자연계열,34,152,34
19,2025,정치외교학과,사회계열,33,213,33
19,2025,제약공학과,자연계열,31,173,32
19,2025,제어로봇공학과,공학계열,43,237,43
19,2025,조경학과,공학계열,38,198,38
19,2025,조선해양공학과,공학계열,33,131,33
19,2025,중어중문학과,인문계열,39,266,39
19,2025,지리교육과,교육계열,15,133,15
19,2025,지역시스템공학과,자연계열,35,134,35
19,2025,지질과학과,자연계열,32,206,32
19,2025,철학과,인문계열,32,229,32
19,2025,체육교육과,교육계열,22,211,22
19,2025,축산과학부,자연계열,64,382,64
19,2025,컴퓨터공학부,공학계열,108,832,108
19,2025,토목공학과,공학계열,46,293,46
19,2025,한문학과,인문계열,33,156,32
19,2025,항공우주공학부,공학계열,176,1385,176
19,2025,항노화신소재과학과,자연계열,31,149,31
19,2025,해양경찰시스템학과,사회계열,32,250,32
19,2025,해양생명과학과,자연계열,29,142,29
19,2025,해양수산경영학과,사회계열,28,130,28
19,2025,해양식품생명의학부,자연계열,55,214,55
19,2025,해양토목공학과,공학계열,28,163,28
19,2025,해양환경공학과,자연계열,29,159,28
19,2025,행정학과,사회계열,40,362,40
19,2025,화학공학과,공학계열,42,266,42
19,2025,화학과,자연계열,42,210,42
19,2025,화학교육과,교육계열,18,95,18
19,2025,환경공학과,자연계열,39,209,39
19,2025,환경산림과학부(통합대학),자연계열,78,457,77
19,2025,환경생명화학과,자연계열,30,176,30
19,2025,환경재료과학과,자연계열,33,156,33
19,2025,회계세무학부,사회계열,106,614,104
19,2025,휴먼헬스케어학과,예체능계열,30,249,30
19,2025,AI정보공학과,공학계열,33,178,33
19,2026,간호학과,의약계열,114,1035,114
19,2026,건설시스템공학과,공학계열,38,351,38
19,2026,건축공학부,공학계열,67,876,66
19,2026,건축학과,공학계열,56,519,56
19,2026,경영정보학과,사회계열,44,271,43
19,2026,경영학부,사회계열,110,729,110
19,2026,경제학부,사회계열,66,467,66
19,2026,교육학과,교육계열,16,201,16
19,2026,국어교육과,교육계열,30,195,30
19,2026,국어국문학과,인문계열,44,318,44
19,2026,국제통상학과,사회계열,99,579,98
19,2026,글로벌자율전공학부,인문계열,48,65,48
19,2026,기계공학부,공학계열,79,718,79
19,2026,기계시스템공학과,공학계열,26,241,26
19,2026,기계융합공학과,공학계열,30,208,30
19,2026,기타모집단위,인문계열,86,0,0
19,2026,농학과,자연계열,31,182,31
19,2026,도시공학과,공학계열,40,290,39
19,2026,독어독문학과,인문계열,31,273,31
19,2026,동물생명융합학부,자연계열,67,361,67
19,2026,디자인비즈니스학과,예체능계열,28,141,28
19,2026,러시아학과,인문계열,33,274,33
19,2026,메카트로닉스공학부,공학계열,52,410,52
19,2026,물리교육과,교육계열,17,93,17
19,2026,미디어커뮤니케이션학과,사회계열,27,364,27
19,2026,미래산업융합학과,공학계열,20,23,15
19,2026,미래자동차공학과,공학계열,42,440,42
19,2026,미술교육과,교육계열,20,147,20
19,2026,민속예술무용학과,예체능계열,17,44,17
19,2026,반도체공학과,공학계열,42,543,42
19,2026,법학부,사회계열,70,565,70
19,2026,불어불문학과,인문계열,32,192,31
19,2026,사학과,인문계열,38,276,38
19,2026,사회복지학부,사회계열,54,741,55
19,2026,사회학과,사회계열,33,294,33
19,2026,산업경영학과,사회계열,35,38,20
19,2026,산업시스템공학부,공학계열,68,468,68
19,2026,생명과학부,자연계열,90,680,90
19,2026,생물교육과,교육계열,17,124,17
19,2026,생물산업기계공학과,자연계열,34,180,34
19,2026,소프트웨어공학과,공학계열,27,213,27
19,2026,수의예과,자연계열,54,714,54
19,2026,수학교육과,교육계열,29,231,29
19,2026,수학물리학부,자연계열,66,358,66
19,2026,스마트농산업학과,자연계열,32,236,32
19,2026,스마트에너지기계공학과,공학계열,31,166,31
19,2026,스마트유통물류학과,사회계열,40,281,40
19,2026,스포츠헬스케어학과,예체능계열,30,302,30
19,2026,식물의학과,자연계열,30,161,30
19,2026,식품공학부,자연계열,55,340,55
19,2026,식품영양학과,자연계열,55,572,55
19,2026,식품자원경제학과,자연계열,36,258,36
19,2026,신소재공학부 고분자공학전공,공학계열,41,198,41
19,2026,신소재공학부 금속재료공학전공,공학계열,40,235,40
19,2026,신소재공학부 세라믹공학전공,공학계열,40,346,40
19,2026,심리학과,인문계열,33,248,33
19,2026,아동가족학과,자연계열,34,220,34
19,2026,약학과(6년제),의약계열,38,516,38
19,2026,에너지공학과,공학계열,32,195,32
19,2026,역사교육과,교육계열,16,210,16
19,2026,영어교육과,교육계열,25,185,25
19,2026,영어영문학부 영어영문학전공,인문계열,49,366,48
19,2026,영어영문학부 영어전공,인문계열,36,280,36
19,2026,원예과학부,자연계열,70,601,70
19,2026,유아교육과,교육계열,19,142,19
19,2026,윤리교육과,교육계열,16,143,16
19,2026,음악교육과,교육계열,29,168,29
19,2026,의류학과,자연계열,32,414,32
19,2026,의예과,의약계열,79,1320,79
19,2026,인테리어재료공학과,자연계열,34,278,34
19,2026,일반사회교육과,교육계열,17,235,17
19,2026,일어교육과,교육계열,16,197,16
19,2026,자율전공학부,무전공,41,666,41
19,2026,전기공학과,공학계열,47,446,47
19,2026,전자공학부,공학계열,103,639,103
19,2026,정보통계학과,자연계열,33,210,32
19,2026,정치외교학과,사회계열,32,256,32
19,2026,제약공학과,자연계열,30,182,30
19,2026,제어로봇공학과,공학계열,43,245,43
19,2026,조경학과,공학계열,38,226,38
19,2026,조선해양공학과,공학계열,31,197,31
19,2026,중어중문학과,인문계열,39,321,39
19,2026,지리교육과,교육계열,15,133,15
19,2026,지역시스템공학과,자연계열,34,173,34
19,2026,지질과학과,자연계열,32,159,32
19,2026,철학과,인문계열,32,250,32
19,2026,체육교육과,교육계열,22,245,22
19,2026,축산과학부,자연계열,63,458,63
19,2026,컴퓨터공학부,공학계열,109,812,109
19,2026,토목공학과,공학계열,47,374,47
19,2026,한문학과,인문계열,32,188,32
19,2026,항공우주공학부,공학계열,178,1325,179
19,2026,항노화신소재과학과,자연계열,30,207,30
19,2026,해양경찰시스템학과,사회계열,32,308,32
19,2026,해양생명과학과,자연계열,29,212,29
19,2026,해양수산경영학과,사회계열,28,254,28
19,2026,해양식품생명의학부,자연계열,55,464,54
19,2026,해양토목공학과,공학계열,29,191,29
19,2026,해양환경공학과,자연계열,29,276,29
19,2026,행정학과,사회계열,40,354,40
19,2026,화학공학과,공학계열,43,341,43
19,2026,화학과,자연계열,42,198,42
19,2026,화학교육과,교육계열,18,105,18
19,2026,환경공학과,자연계열,39,403,39
19,2026,환경산림과학부(통합대학),자연계열,78,443,77
19,2026,환경생명화학과,자연계열,30,303,30
19,2026,환경재료과학과,자연계열,33,194,33
19,2026,회계세무학부,사회계열,107,737,106
19,2026,AI정보공학과,공학계열,31,204,31
20,2024,간호학과,의약계열,72,849,72
20,2024,건강재활전공,예체능계열,15,85,15
20,2024,건축학과(5년제),공학계열,37,276,37
20,2024,경영학과,사회계열,143,803,143
20,2024,경제금융물류학부,사회계열,90,327,90
20,2024,경찰행정학과,사회계열,55,459,54
20,2024,공예디자인학과,예체능계열,65,322,65
20,2024,광고홍보학과,사회계열,51,392,50
20,2024,국제무역통상학과,사회계열,87,524,86
20,2024,글로벌경영전공,사회계열,150,370,150
20,2024,글로벌기계설계공학전공,공학계열,10,24,10
20,2024,글로벌한국학전공,인문계열,3,11,3
20,2024,글로벌Hospitality경영전공,사회계열,107,267,107
20,2024,글로벌IT공학전공,공학계열,95,194,95
20,2024,글로컬문화학부,인문계열,93,326,91
20,2024,기계자동차공학과,공학계열,43,266,42
20,2024,기타모집단위,인문계열,10,0,0
20,2024,도시계획학과,사회계열,40,179,41
20,2024,동물보건생명과학과,자연계열,33,327,32
20,2024,메카트로닉스공학과,공학계열,42,187,41
20,2024,문헌정보학과,인문계열,49,228,49
20,2024,물리치료학과,의약계열,33,683,34
20,2024,뮤지컬전공,예체능계열,16,45,16
20,2024,미디어커뮤니케이션학과,사회계열,45,354,47
20,2024,미디어콘텐츠학과,인문계열,33,237,33
20,2024,법학과,사회계열,54,260,53
20,2024,빅데이터응용통계학과,자연계열,40,187,40
20,2024,사진학과,예체능계열,31,150,31
20,2024,사회복지학과,사회계열,64,478,64
20,2024,산업경영공학과,공학계열,38,169,38
20,2024,산업디자인학전공,예체능계열,32,204,32
20,2024,소프트웨어학과,공학계열,54,226,53
20,2024,스마트바이오학과,자연계열,30,166,30
20,2024,시각디자인학전공,예체능계열,37,324,37
20,2024,식품생명공학과,자연계열,43,182,42
20,2024,식품영양학과,자연계열,48,268,48
20,2024,신소재공학과,공학계열,40,175,39
20,2024,실내건축학과,공학계열,33,256,35
20,2024,심리학과,인문계열,44,290,44
20,2024,약학과,의약계열,58,1669,57
20,2024,에너지과학과,자연계열,30,104,30
20,2024,연극전공,예체능계열,39,224,41
20,2024,영상애니메이션학부,예체능계열,65,727,65
20,2024,영어영문학과,인문계열,83,425,81
20,2024,영화전공,예체능계열,38,161,39
20,2024,외식서비스경영학전공,사회계열,44,338,44
20,2024,유아교육과,교육계열,31,223,31
20,2024,윤리교육과,교육계열,14,107,14
20,2024,음악학부,예체능계열,42,146,41
20,2024,인문문화학부,인문계열,102,433,103
20,2024,전기공학과,공학계열,53,316,53
20,2024,전자공학과,공학계열,43,199,43
20,2024,정보통신공학과,공학계열,40,164,40
20,2024,제약공학과,자연계열,35,207,35
20,2024,중국학과,인문계열,68,263,68
20,2024,체육학전공,예체능계열,44,552,46
20,2024,컴퓨터공학과,공학계열,54,401,53
20,2024,토목공학과,공학계열,40,164,39
20,2024,패션디자인학과,예체능계열,54,336,54
20,2024,현대미술학과,예체능계열,34,123,34
20,2024,호텔관광경영학전공,사회계열,45,370,46
20,2024,화장품학과,공학계열,33,169,32
20,2024,화학공학과,공학계열,34,201,34
20,2024,환경공학과,자연계열,40,218,39
20,2024,회계학과,사회계열,86,349,88
20,2024,AI미디어학과,예체능계열,30,204,30
20,2024,AI수리학과,자연계열,20,89,20
20,2025,간호학과,의약계열,73,697,73
20,2025,건축학과(5년제),공학계열,37,256,37
20,2025,경영학과,사회계열,143,863,143
20,2025,경제금융물류학부,사회계열,90,466,89
20,2025,경찰행정학과,사회계열,54,471,55
20,2025,공예디자인학과,예체능계열,65,296,67
20,2025,광고홍보학과,사회계열,50,272,51
20,2025,국제무역통상학과,사회계열,87,384,91
20,2025,글로벌공학부,공학계열,47,393,0
20,2025,글로벌학부,사회계열,151,934,0
20,2025,글로컬문화학부,인문계열,94,343,92
20,2025,기계자동차공학과,공학계열,43,363,42
20,2025,기타모집단위,인문계열,10,0,0
20,2025,도시계획학과,사회계열,41,177,41
20,2025,동물보건생명과학과,자연계열,33,298,33
20,2025,메카트로닉스공학과,공학계열,40,161,40
20,2025,문헌정보학과,인문계열,49,206,48
20,2025,물리치료학과,의약계열,33,365,36
20,2025,뮤지컬전공,예체능계열,17,50,17
20,2025,미디어커뮤니케이션학과,사회계열,44,401,44
20,2025,미디어콘텐츠학과,인문계열,43,341,41
20,2025,법학과,사회계열,54,254,52
20,2025,빅데이터응용통계학과,자연계열,35,163,35
20,2025,사진학과,예체능계열,30,117,30
20,2025,사회복지학과,사회계열,65,430,65
20,2025,산업경영공학과,공학계열,38,117,38
20,2025,산업디자인학과,예체능계열,37,219,36
20,2025,소프트웨어학과,공학계열,54,292,53
20,2025,스마트바이오학과,자연계열,30,147,30
20,2025,스포츠건강학과,예체능계열,60,584,60
20,2025,시각디자인학과,예체능계열,40,272,38
20,2025,식품생명공학과,자연계열,43,218,43
20,2025,식품영양학과,자연계열,48,369,49
20,2025,신소재공학과,공학계열,36,171,36
20,2025,실내건축학과,공학계열,33,230,34
20,2025,심리학과,인문계열,49,308,49
20,2025,약학과,의약계열,58,2005,58
20,2025,에너지과학과,자연계열,30,140,29
20,2025,연극전공,예체능계열,39,193,39
20,2025,영상애니메이션학부,예체능계열,64,705,64
20,2025,영어영문학과,인문계열,76,328,73
20,2025,영화전공,예체능계열,37,155,37
20,2025,외식서비스경영학전공,사회계열,45,233,45
20,2025,유아교육과,교육계열,32,174,32
20,2025,윤리교육과,교육계열,14,93,14
20,2025,음악학부,예체능계열,36,159,36
20,2025,인문문화학부,인문계열,104,552,104
20,2025,전기공학과,공학계열,53,429,53
20,2025,전자공학과,공학계열,40,260,41
20,2025,정보통신공학과,공학계열,39,202,39
20,2025,제약공학과,자연계열,34,198,33
20,2025,중국학과,인문계열,62,269,62
20,2025,컴퓨터공학과,공학계열,55,356,55
20,2025,토목공학과,공학계열,40,190,40
20,2025,패션디자인학과,예체능계열,60,356,60
20,2025,현대미술학과,예체능계열,34,145,34
20,2025,호텔관광경영학전공,사회계열,45,349,46
20,2025,화장품학과,공학계열,38,216,36
20,2025,화학공학과,공학계열,34,150,34
20,2025,환경공학과,자연계열,36,167,35
20,2025,회계학과,사회계열,86,329,86
20,2025,AI미디어학과,예체능계열,30,107,30
20,2025,AI수리학과,자연계열,20,76,20
20,2026,간호학과,의약계열,73,694,73
20,2026,건축학과(5년제),공학계열,37,221,37
20,2026,경영학과,사회계열,145,916,145
20,2026,경제금융물류학부,사회계열,92,525,92
20,2026,경찰행정학과,사회계열,57,544,57
